,reviews
0,"✅ Trip Verified |   Midday departure from Doha is a very quiet time as is evening arrival in LHR. We were in an older B777 and it was installed with Qsuites. The new WIFI service is amazing, and nice caviar and Balik salmon with Turbot rounded a delicious meal. The IFE game selection was poor"
1,"✅ Trip Verified | I had a frustrating experience with Qatar Airways Privilege Club. I purchased tickets through their official website, yet part of the flight didn’t qualify for Qpoints. Their response was that the flight was “operated by another airline”, but this was not clear during booking. This is misleading and not acceptable. "
2,"✅ Trip Verified |   I flew business class with Qatar Airways on their A350-900 featuring the Qsuite, and it turned out to be one of the most comfortable and enjoyable flights I’ve taken. Everything from the seat to the service felt thoughtfully designed and well-executed. It’s easy to see why Qatar Airways is so highly rated — this flight gave me a clear sense of what sets their business class apart. Qsuite privacy: the sliding door and fully enclosed suite created a personal sanctuary — perfect for work, rest, or relaxation. Full flat bed with soft pillows and a duvet for restful sleep. In-seat massage feature added to the comfort, especially on a long-haul journey. Gourmet-quality meals with a diverse menu. Every dish was beautifully presented and tasted amazing. Excellent selection of wines, spirits, and mocktails. High-quality amenity kit, soft pajamas, slippers, and other thoughtful touches. The cabin crew was warm, professional, and attentive throughout the journey. A350 cabin was quiet, smooth ride with mood lighting and large windows. Plenty of room to stow personal items. Wide selection of movies, TV shows, music, and more on a responsive touchscreen. "
3,"✅ Trip Verified |   This was my first flight with Qatar and I arrived at the airport with anticipation.  was disappointed to learn I would not be travelling in their acclaimed Q Suite. They certainly lived up to what you would expect from an airline that has been awarded World’s Best Airline and recognised as having the World’s Best Business Class. There was one thing that needs to be addressed and that is the music played while boarding. It was ridiculously loud. Some of the things that really standout for me: Business Class passengers are given a sleeper suit to wear which was much appreciated. The inflight service was personal and faultless. The lay-flat function of the chair was extremely good, and the bedding material was great. The catering was the best I’ve experienced in a long time. The meals where truly exceptional and the fact they offer caviar to business class passengers is remarkable. This airline truly deserves the accolades it has received, and I can’t wait for my next flights with Qatar which at this stage will be in November this year."
4,"✅ Trip Verified |   I was travelling to Cochin on Nov 21st 2024 going home for my vacation, and before i boarded the flight from Doha to Cochin i was upgraded from Economy to Business class in that sector. The service was exceptional and i still remember one of the flight attendant Aravind who was going extra mile to help me with the food. I am so proud to become a silver card member in Qatar Airways. Thank you Qatar Airways for all the wonderful service provided to passengers."
5,✅ Trip Verified |   Excellent check in service at Male though it was high season in the Maldives and very high passenger volumes but they were efficient and courteous big shout out to Abdullah. The flight left ahead of time because of the great job the ground staff did. The plane had lie flat angled business class had a mid row but I did not mind as a night departure from Male is not like a day time departure which is a heavenly scene. Onboard service was nice and dinner was like Jeckel and Hyde the Tuna and Scallops appetizer was excellent but the steak overdone and unchewable. The WIFI was super fast I could view YouTube and everything else.
6,✅ Trip Verified |   Probably the best Business Class flight of my life and I have been traveling extensively in the last thirty years. Went from Dubai to Milan via Doha and back within five days. The configuration of the seats was different from one leg to another. The first leg was with the Q Suite game changer and the second with a more regular seat but still extremely comfortable. All flights punctual or landed earlier. In all routes the service was impeccable. The catering was comparable with a five star restaurant. Clean toilets. The comfort of the seats was unparalleled. Endless selection of movies. Onboard WiFi was very fast and reasonably priced. 
7,"✅ Trip Verified |   Qatar Airways has become my favourite airline on the Toronto to Colombo route, which my family and I travel in Business Class, once or twice a year. I thoroughly enjoy the QSuite on the long leg of the flights to and from Doha. The privacy and the comfort offered by the QSuite is unparalleled to any other airline which operates on this route. The service from the cabin staff is outstanding, and I have enjoyed attentive service with a smile. Meal options and the option to enjoy meals at one’s convenience is an added feature. I appreciate the fact that, since last Autumn, Qatar flies in and out of Toronto Pearson Airport, which significantly reduces the travel time. We previously had to travel to Montreal in order to take Qatar Airways. Complimentary wifi on board is definitely appreciated."
8,✅ Trip Verified | Early morning departure and morning arrival in Maldives! The timing is not the greatest as the arrival is at the same time with many other flights and it makes long queues and puts pressure on the sea planes connecting to the atolls the plane was an ex Cathay Pacific plane and is still configured in the Herring Bone seats and CX hardware. The cabin service was excellent and WIFi was fantastic even YouTube worked.
9,"✅ Trip Verified |   I flew from Tokyo Narita to Sofia via Doha and returned to Tokyo from Bucharest via Doha. Despite having reserved a vegetarian meal, on all flights crew forgot and I had to remind them. I complained on each flight and met the same reaction - a crew member telling me that this never usually happens, apologizing profusely, and promising that everything will be okay on the next flight. By the time it occurred for the 4th time on the 4th flight, I was finding it all rather frustrating and perplexing. On the flight from Bucharest to Doha I was given dirty cutlery and the cabin assistant whose attention I brought it to wasn't apologetic. She took the spoon from me and said it was a mistake and she would get a new one. In the end I had to call the senior cabin assistant who did apologize.  I found the inflight map system on 3 of the 4 flights to be extremely old fashioned. It was just a basic low-resolution non-interactive map of the kind that airlines used to provide when adding maps to the online entertainment was a new thing (fifteen or twenty years ago). On a long flight, I find the interactive maps to be very interesting and help to pass the time.  When I asked a crew member on the Bucharest to Doha flight how to check the movies I had placed on my favorites list, she said that such a feature does not exist on the inflight entertainment system for this aircraft. However, it did as I had already used it on a previous Qatar flight using the same model of aircraft and I had already added my favorite movies for this flight onto my list. I was unable to remember how to view the list. I tried to explain this to her, but she said that no such system existed and explained that not all aircraft have this feature. In the end, I played around for ten minutes or so and figured it out myself. I wouldn't have minded if the crew member was honest and said she didn't know or that she needed to check with someone else. I don't understand how Qatar are ranked up there with the top airline. The only thing that went well was that all four flights left on time."
