,Team,Group,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11
1,Senegal,A,62,2931,40,1070,2638,2096,248,906,1974,545,15
2,Qatar,A,6227,5537,6460,9282,10707,7036,4160,3505,10006,3300,1086
3,Netherlands,A,428,84,9,405,237,237,272,42,397,75,481
4,Ecuador,A,2979,5570,689,5447,515,9016,3009,4427,990,1730,1758
5,Iran,B,3568,3353,14410,6635,3068,10316,2689,3143,4477,296,489
6,England,B,330,194,435,69,136,124,142,433,83,47,10
7,United States,B,897,4819,1286,2804,996,3413,1092,418,1003,6104,244
8,Wales,B,2154,4360,3419,6300,1788,8195,9379,4131,1483,892,335
9,Argentina,C,107,823,168,327,353,123,316,118,0,340,59
10,Saudi Arabia,C,5540,5130,8806,9096,2805,8430,5546,6009,8032,1060,9808
11,Mexico,C,447,1089,1038,1401,3580,396,9779,1233,285,239,367
12,Poland,C,51,1175,3829,3672,2577,1215,786,182,1992,2284,2
13,Denmark,D,167,1005,898,256,1169,286,262,185,1138,1034,1331
14,Tunisia,D,15062,4392,4255,8081,4217,6176,2973,572,1144,2546,4128
15,France,D,33,129,160,91,56,74,231,86,191,1,4
16,Australia,D,789,5559,3103,3400,10405,3049,9028,8243,4733,3232,7864
17,Germany,E,7,1270,65,30,281,17,68,302,135,34,138
18,Japan,E,3038,1999,2790,607,3455,821,1335,822,381,2247,1520
19,Spain,E,165,260,1017,172,71,170,31,82,232,432,304
20,Costa Rica,E,26,1966,6045,7826,4191,6255,4146,4224,9031,6580,4887
21,Morocco,F,100,140,3907,1056,420,2180,5035,1189,2619,2484,1090
22,Croatia,F,3579,3228,2008,3324,1666,29,57,102,364,471,602
23,Belgium,F,6,9477,258,336,799,2311,587,773,3,119,867
24,Canada,F,865,4375,5748,4136,3463,4792,1336,4326,141,512,1942
25,Switzerland,G,89,922,320,937,2196,464,624,1148,393,1865,939
26,Cameroon,G,217,4802,2220,112,5105,3057,6760,6712,1501,1717,1524
27,Brazil,G,18,133,25,50,504,236,13,11,169,324,63
28,Serbia,G,714,419,2810,3750,934,909,634,80,97,2684,400
29,Uruguay,H,777,869,2375,174,1013,363,549,134,707,96,227
30,Korea Republic,H,5212,8885,517,4080,4043,2339,9291,1065,1181,12,4694
31,Portugal,H,603,24,20,431,403,157,490,23,53,87,8
32,Ghana,H,10488,3117,1108,889,5158,99,1463,3960,1541,1652,1789
