Data,Home,Away,Result,Netgoal,Goal_total,Home_goal,Away-goal,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18,Player19,Player20,Player21,Player22
2022-01-10,Morocco,Ghana,W,1,1,1,0,100,140,1056,420,2180,3907,5035,2619,2143,914,4302,10488,3117,1108,889,5158,99,1463,3960,1541,1652,1789
2022-01-27,Ecuador,Brazil,D,0,2,1,1,2979,5570,689,5447,515,9016,3009,4427,990,1730,1758,18,683,133,50,445,169,495,13,63,294,261
2022-01-30,Canada,United States,W,2,2,2,0,865,4375,5748,4136,4326,3463,3865,3060,2044,512,1942,897,996,2421,2199,1997,1915,1092,418,2189,4083,244
2022-01-30,Mexico,Costa Rica,D,0,0,0,0,447,1089,1038,1401,1657,396,9779,1233,285,1188,367,26,1966,6045,7826,13982,4146,4191,6255,8032,4224,4887
2022-02-01,Japan,Saudi Arabia,W,2,2,2,0,3038,607,1551,2142,2205,821,822,3654,1335,1678,3185,5540,3366,6321,7854,2805,8430,5319,8418,5130,1060,9808
2022-03-24,Mexico,United States,D,0,0,0,0,447,1089,1038,1401,3580,396,9779,1233,285,239,367,897,4819,1286,2421,1997,1915,1092,3413,2109,6104,244
2022-03-24,Costa Rica,Canada,W,1,1,1,0,26,1966,6045,7826,4191,6255,4146,4224,9031,6580,4887,865,4375,3102,4136,3463,3060,1336,3865,2044,512,1942
2022-03-24,Korea Republic,Iran,W,2,2,2,0,5212,8885,517,4080,4043,2339,9291,1065,1181,12,4694,3568,3353,14410,6635,3068,10316,2689,3143,4477,296,489
2022-03-24,Australia,Japan,L,2,2,0,2,789,5559,3103,3400,10405,3049,9028,8243,4733,3232,7864,3038,607,1551,2790,2205,821,822,3654,1335,1678,2783
2022-03-26,England,Switzerland,W,1,3,2,1,245,4238,617,712,838,186,513,433,83,143,10,575,922,320,4227,2196,464,624,1377,1148,1635,939
2022-03-26,Netherlands,Denmark,W,2,6,4,2,503,84,9,759,237,397,42,462,272,481,75,167,947,208,1846,678,185,286,1080,1510,1005,1331
2022-03-29,Saudi Arabia,Australia,W,1,1,1,0,5540,5130,8806,9096,2805,8430,5546,6009,8032,1060,9808,789,6759,9028,3103,5199,3049,7012,5092,4733,3232,4245
2022-03-29,Ecuador,Argentina,D,0,2,1,1,2979,5854,689,5447,515,9016,3009,4427,990,1730,1758,199,550,293,327,353,123,488,1218,2631,0,415
